customer_id,full_name,email,phone,gender,city,state,country,signup_date
CUST00001,Nikhil Jain,nikhil.jain0@gmail.com,9513093217,Female,London,England,UK,2021-07-07
CUST00002,Karan Yadav,karan.yadav1@gmail.com,9588545827,Female,Chennai,Tamil Nadu,India,2022-01-27
CUST00003,Ali Reddy,ali.reddy2@gmail.com,9000050833,Female,Vancouver,British Columbia,Canada,2025-05-22
CUST00004,Isha Agarwal,isha.agarwal3@gmail.com,9792819061,Female,Ahmedabad,Gujarat,India,2022-09-28
CUST00005,Ali Verma,ali.verma4@gmail.com,9156549180,Female,Toronto,Ontario,Canada,2023-03-23
CUST00006,Pooja Shah,pooja.shah5@gmail.com,9685916874,Female,Toronto,Ontario,Canada,2021-11-16
CUST00007,Priya Verma,priya.verma6@gmail.com,9336872314,Female,Toronto,Ontario,Canada,2023-04-30
CUST00008,Deepak Shah,deepak.shah7@gmail.com,9272562872,Male,Manchester,England,UK,2025-01-13
CUST00009,Tanvi Khan,tanvi.khan8@gmail.com,9683450063,Female,Nagpur,Maharashtra,India,2025-07-23
CUST00010,Aditya Bansal,aditya.bansal9@gmail.com,9316186957,Female,Toronto,Ontario,Canada,2020-12-01
CUST00011,Neha Gupta,neha.gupta10@gmail.com,9340802818,Female,Manchester,England,UK,2022-04-22
CUST00012,Ankit Jain,ankit.jain11@gmail.com,9442466833,Male,Mumbai,Maharashtra,India,2020-05-27
CUST00013,Varun Gupta,varun.gupta12@gmail.com,9851117384,Male,Los Angeles,California,USA,2022-09-01
CUST00014,Sneha Gupta,sneha.gupta13@gmail.com,9955219298,Female,Los Angeles,California,USA,2024-09-22
CUST00015,Ali Patel,ali.patel14@gmail.com,9180917700,Male,London,England,UK,2022-09-27
CUST00016,Sara Kapoor,sara.kapoor15@gmail.com,9452787639,Male,New York,New York,USA,2021-06-29
CUST00017,Sara Malhotra,sara.malhotra16@gmail.com,9192681413,Male,New Delhi,Delhi,India,2025-07-06
CUST00018,Nikhil Iyer,nikhil.iyer17@gmail.com,9881224798,Female,Vancouver,British Columbia,Canada,2025-04-16
CUST00019,Kavya Gupta,kavya.gupta18@gmail.com,9743923554,Female,Toronto,Ontario,Canada,2020-09-12
CUST00020,Varun Iyer,varun.iyer19@gmail.com,9141380047,Male,Vancouver,British Columbia,Canada,2020-09-26
CUST00021,Arjun Reddy,arjun.reddy20@gmail.com,9574914592,Female,Houston,Texas,USA,2020-06-17
CUST00022,Siddharth Jain,siddharth.jain21@gmail.com,9351499258,Female,Vancouver,British Columbia,Canada,2025-01-03
CUST00023,Sara Chopra,sara.chopra22@gmail.com,9667007063,Female,London,England,UK,2021-08-22
CUST00024,Neha Sheikh,neha.sheikh23@gmail.com,9612209606,Male,Dallas,Texas,USA,2021-07-15
CUST00025,Varun Patel,varun.patel24@gmail.com,9281186982,Female,Manchester,England,UK,2022-01-03
CUST00026,Ali Chopra,ali.chopra25@gmail.com,9933159546,Male,Houston,Texas,USA,2021-04-25
CUST00027,Rohit Jain,rohit.jain26@gmail.com,9488357611,Female,New Delhi,Delhi,India,2023-10-31
CUST00028,Pooja Iyer,pooja.iyer27@gmail.com,9066183920,Male,Manchester,England,UK,2023-07-25
CUST00029,Manish Das,manish.das28@gmail.com,9379631469,Male,San Francisco,California,USA,2023-01-02
