user_id,full_name,email,phone,city,country,registration_date,user_type,rating,is_verified
USER00001,Lucas Hernandez,lucas.hernandez812@outlook.com,+12666361262,Vancouver,Canada,2022-05-03,both,3.7,Yes
USER00002,Carlos Ali,carlos.ali740@outlook.com,+971576415905,Abu Dhabi,UAE,2020-09-23,both,3.3,Yes
USER00003,Yusuf Zhang,yusuf.zhang99@icloud.com,+19070947180,Houston,USA,2024-04-20,both,3.8,No
USER00004,Wang Miller,wang.miller695@gmail.com,+447014710383,London,UK,2020-08-26,buyer,4.2,Yes
USER00005,Benjamin Rodriguez,benjamin.rodriguez468@outlook.com,+916868750788,Delhi,India,2021-06-17,seller,5.0,Yes
USER00006,Sophia Sharma,sophia.sharma624@gmail.com,+491724942484,Munich,Germany,2020-03-22,both,3.8,Yes
USER00007,Ananya Garcia,ananya.garcia18@hotmail.com,+449354758297,Manchester,UK,2021-03-12,both,4.3,No
USER00008,Vivaan Khan,vivaan.khan566@yahoo.com,+491660055424,Berlin,Germany,2020-08-19,both,4.9,No
USER00009,Ananya Rodriguez,ananya.rodriguez961@hotmail.com,+971538362883,Abu Dhabi,UAE,2024-12-25,seller,4.3,Yes
USER00010,Ali Miller,ali.miller142@gmail.com,+13106137193,Los Angeles,USA,2023-04-28,both,3.9,Yes
USER00011,Rahul Johnson,rahul.johnson45@yahoo.com,+971504524098,Dubai,UAE,2020-05-28,both,4.6,No
USER00012,Olivia Davis,olivia.davis175@icloud.com,+449024672025,London,UK,2024-04-03,buyer,3.1,No
USER00013,Noah Patel,noah.patel376@icloud.com,+12117783512,Los Angeles,USA,2024-07-16,seller,5.0,Yes
USER00014,Emma Gonzalez,emma.gonzalez457@yahoo.com,+971591792738,Abu Dhabi,UAE,2022-08-17,buyer,3.7,No
USER00015,Fatima Silva,fatima.silva461@gmail.com,+447668921237,London,UK,2021-09-13,both,4.6,Yes
USER00016,Ali Rodriguez,ali.rodriguez958@gmail.com,+17257153019,Houston,USA,2020-09-04,both,3.5,No
USER00017,Liam Fernandez,liam.fernandez271@gmail.com,+14601032279,Vancouver,Canada,2022-05-09,both,3.7,No
